AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
2,2,3,13,,,4,,2,4,1009,0,1,0,2,7
2,1,2,40,,,3,0,2,4,,,1,0,2,4
2,6,1,55,,,4,1,1,1,,,1,0,2,1
2,1,6,104,0,0,4,0,2,2,0,0,3,6,0,8
2,1,6,47,,,9,0,1,0,1,0,0,0,1,3
1,1,1,343,0,0,2,198,2,2,143,914,1,0,2,3
1,1,6,24,,,4,0,2,4,,,1,0,1,3
1,1,6,115,4765600,47900,4,0,0,0,0,0,1,13,0,2
1,1,7,287,0,0,3,1113,0,2,0,0,3,6,0,1
1,1,2,73,4877100,238823,1,86,3,3,32,300,1,0,2,4
1,1,7,324,4322500,-51200,3,24,3,2,38,750,3,0,0,8
2,3,6,28,4879900,245343,3,19,1,3,,,1,9,0,1
1,9,2,218,,,2,88,1,2,38,980,1,0,2,8
2,5,3,118,,,4,0,2,4,,,1,0,2,2
2,2,3,103,,,4,0,2,3,,,1,0,2,6
2,1,3,187,,,3,0,2,1,15,488,1,0,2,5
2,2,3,184,4727922,-221684,4,0,2,2,,,1,0,2,1
1,1,7,644,4928726,181959,4,1,2,2,,,1,14,0,0
1,1,5,235,4989200,125600,3,149,2,2,79,500,1,0,2,8
2,1,6,55,,,4,0,2,0,0,0,1,0,2,1
2,1,3,63,,,4,0,2,3,,,1,0,2,3
2,3,6,385,,,3,0,2,2,,,1,0,9,8
1,1,7,223,4345075,319097,3,16,0,0,5,110,3,13,0,1
1,1,3,246,0,0,3,40,2,2,0,0,1,0,2,6
2,6,3,261,,,4,0,2,2,,,1,0,2,3
2,1,6,181,,,9,0,2,3,,,1,0,1,2
2,2,6,32,,,2,370,2,1,,,1,9,9,3
2,1,6,351,,,2,0,2,1,,,1,0,1,1
2,3,2,62,,,3,0,3,3,,,1,0,2,5
1,1,3,169,0,0,1,10,3,3,96,700,1,3,2,1
1,1,6,204,,,2,57,2,1,,,1,0,0,5
2,1,6,529,,,4,0,2,2,,,1,0,1,1
2,2,6,119,,,4,0,2,2,,,1,0,1,1
2,3,2,4,,,3,19,3,4,,,1,0,2,4
2,3,3,389,,,4,0,2,1,,,1,0,2,8
